School,TO?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th–75th Percentile,ACT Total 25th–75th Percentile
Purdue University—West Lafayette,No,,Purdue University requires either the SAT or ACT. It does not require the optional ACT Writing Test.,59173,68.88%,1190–1430,26–33
New College of Florida,No,,The New College of Florida requires either the SAT or ACT. It does not require the optional ACT Writing Test.,1650,74.18%,1110–1328,23–29
University of Tennessee,No,,The University of Tennessee requires SAT/ACT scores as part of the application for admission.,29909,74.94%,1180–1340,25–31
Thomas Aquinas College,No,,"Thomas Aquinas College requires requires that applicants take the SAT, the ACT, or the CLT. It does not require the optional ACT Writing Test. Thomas Aquinas College does not offer merit-based aid.",204,78.92%,1150–1390,26–31
Columbia University,Yes,All / Permanent Policy,"Columbia offers a test optional policy, which allows students to apply without SAT or ACT scores.",60551,3.89%,1510–1560,34–35
California Institute of Technology,Yes (TF),"2021, 2022, 2023, 2024, 2025","Caltech has extended their temporary Test Free policy, meaning it will not consider standardized test scores, to the 2024–25 admissions cycle. CalTech does not offer merit-based aid.",13026,3.92%,—,—
Stanford University,Yes,"2021, 2022, 2023, 2024",Stanford extended their temporary test optional policy to the 2023–24 admissions cycle.,55471,3.95%,1470–1560,34–35
Harvard College,Yes,"2021, 2022, 2023, 2024, 2025, 2026",Harvard has extended their temporary test optional policy through the 2026 admissions cycle.,57789,4.01%,1480–1580,33–36
Princeton University,Yes,"2021, 2022, 2023, 2024, 2025",Princeton has extended their temporary test optional policy to the 2024–25 admissions cycle. Princeton does not offer merit-based aid.,37601,4.38%,1470–1560,33–35
Yale University,Yes,"2021, 2022, 2023, 2024",Yale has extended their temporary test optional policy to the 2023–24 admission cycle. Yale does not offer merit-based aid.,47240,5.31%,1480–1560,33–35
Brown University,Yes,"2021, 2022, 2023, 2024",Brown has extended their temporary test optional policy to the 2023–24 admissions cycle. Brown does not offer merit-based aid.,46568,5.51%,1470–1550,33–35
Dartmouth College,Yes,"2021, 2022, 2023",Dartmouth has extended their temporary test optional policy to Fall 2023. Dartmouth does not offer merit-based aid.,28356,6.17%,1430–1550,32–35
Johns Hopkins University,Yes,"2021, 2022, 2023, 2024, 2025, 2026",Johns Hopkins has extended their temporary test optional policy to the 2025–26 admission cycle.,38513,6.43%,1520–1560,34–35
University of Chicago,Yes,All / Permanent Policy,"UChicago offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",37977,6.48%,1510–1560,33–35
Pomona College,Yes,"2021, 2022, 2023, 2024",Pomona College has extended their temporary test optional policy to the 2023–24 admission cycle.,11620,6.64%,1480–1550,33–35
Northwestern University,Yes,"2021, 2022, 2023, 2024",Northwestern has extended their temporary test optional policy to the 2023–24 admissions cycle.,47636,6.97%,1490–1550,33–35
Vanderbilt University,Yes,"2021, 2022, 2023, 2024",Vanderbilt has extended their temporary test optional policy to the 2023–24 admission cycle.,47152,7.14%,1480–1570,34–35
Swarthmore College,Yes,"2021, 2022, 2023, 2024, 2025",Swarthmore has extended their temporary test optional policy to the 2024-25 admission cycle.,13012,7.79%,1440–1540,33–35
Duke University,Yes,"2021, 2022, 2023",Duke has extended their temporary test optional policy to the 2022–23 admissions cycle.,39603,7.79%,1480–1560,34–35
Cornell University,Yes,"2021, 2022, 2023, 2024","Cornell has extended their temporary test optional policy to Fall 2024 applicants. Additionally, College of Agriculture and Life Sciences, College of Architecture, Art, and Planning, and the Cornell SC Johnson College of Business will not consider test scores even if submitted. Cornell does not offer merit-based aid.",67380,8.69%,1450–1540,33–35
Amherst College,Yes,"2021, 2022, 2023, 2024",Amherst has extended their temporary test optional policy to the 2023–24 admissions cycle.,13999,8.74%,1440–1540,32–35
Bowdoin College,Yes,All / Permanent Policy,"Bowdoin College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. Bowdoin does not offer merit-based aid.",9325,8.82%,1330–1510,31–34
Williams College,Yes,"2021, 2022, 2023 2024, 2025, 2026",Williams has extended their temporary test optional policy to the 2025–26 admissions cycle.,12452,8.83%,1470–1550,33–35
University of Pennsylvania,Yes,"2021, 2022, 2023, 2024",UPenn has extended their temporary test optional policy to the 2023–24 admissions cycle.,42205,8.98%,1460–1570,33–35
United States Naval Academy,Yes,"2021, 2022, 2023","USNA has extended their temporary test flexible policy, meaning they will review applications with or without standardized test scores. Students seeking admission without a test score will be asked to provide supporting information concerning test availability, cancellation, etc.",15699,9.08%,1250–1510,27–34
United States Military Academy,Yes,"2021, 2022, 2023","West Point has extended their temporary test flexible policy, which allows students to submit official PSAT scores in lieu of SAT or ACT scores. They require the ACT with writing, and students who submit PSAT or SAT scores may be asked to provide a timed writing sample.",15856,9.28%,1220–1440,28–33
Rice University,Yes,"2021, 2022, 2023",Rice has extended their temporary test optional policy to the 2022-23 admissions cycle.,29544,9.48%,1490–1570,34–35
Tulane University,Yes,"2021, 2022, 2023",Tulane has extended their temporary test optional policy to the 2022–23 admissions cycle.,45525,9.63%,1380–1490,30–33
Colby College,Yes,All / Permanent Policy,"Colby College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. Colby does not offer merit-based aid.",13584,9.67%,1380–1520,31–34
Harvey Mudd College,Yes,"2021, 2022, 2023, 2024",Harvey Mudd has extended their temporary test optional policy to the 2023–24 admissions cycle.,4737,9.99%,1470–1540,34–36
University of California—Los Angeles,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",139490,10.77%,—,—
Claremont McKenna College,Yes,"2021, 2022, 2023, 2024",CMC has extended their temporary test optional policy to the 2021–22 admission cycle.,5632,11.24%,1440–1500,32–35
Tufts University,Yes,"2021, 2022, 2023, 2024, 2025, 2026",Tufts has extended their temporary test optional policy to the 2025–26 admission cycle.,31198,11.43%,1450–1530,33–35
Barnard College,Yes,"2021, 2022, 2023, 2024",Barnard College has extended their temporary test optional policy to the 2023–24 admissions cycle. Barnard College does not offer merit-based aid.,10395,11.47%,1445–1530,32–34
University of Southern California,Yes,"2021, 2022, 2023",USC has extended their temporary test optional policy to the 2022–23 admission cycle.,71031,12.51%,1330–1520,30–34
Washington University in St. Louis,Yes,"2021, 2022, 2023, 2024",Washington University in St. Louis has extended their temporary test optional policy to the 2023–24 admission cycle.,33634,13%,1490–1570,33–35
Emory University,Yes,"2021, 2022, 2023",Emory has extended their temporary test optional policy to the 2022–23 admissions cycle.,33435,13.05%,1430–1530,32–34
Middlebury College,Yes,"2021, 2022, 2023","Middlebury has adopted a three-year, test optional policy for first-year and transfer students, beginning with the 2020-21 admission cycle. After a three-year pilot period, Middlebury will re-evaluate whether to continue the test optional policy indefinitely or return to its previous test flexible policy. Middlebury does not offer merit-based aid.",11906,13.45%,1400–1520,32–34
Carnegie Mellon University,Yes,"2021, 2022, 2023",Carnegie Mellon has extended their temporary test optional policy to the 2022–23 admission cycle.,32896,13.54%,1480–1560,33–35
Hamilton College,Yes,"2021, 2022, 2023",Hamilton has extended their temporary test optional policy to the 2022–23 admission cycle. Hamilton does not offer merit-based aid.,9380,14.07%,1440–1520,33–35
Colorado College,Yes,All / Permanent Policy,"Colorado College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and international students are not eligible for test optional admission.",10975,14.25%,1265–1450,29–33
University of California—Berkeley,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",112846,14.54%,—,—
University of Notre Dame,Yes,"2021, 2022, 2023, 2024",Notre Dame has extended their temporary test optional policy to the 2023–24 admissions cycle.,23642,15.07%,1410–1550,32–35
The Cooper Union,Yes,"2021, 2022, 2023","Cooper Union has extemded their temporary test optional policy for first-year and transfer applicants, to Fall 2023.",2326,15.86%,1305–1530,30–35
Wellesley College,Yes,"2021, 2022, 2023, 2024",Wellesley College has extended their temporary test optional policy to Fall 2024 admission.,7665,16.18%,1410–1530,31–35
Colgate University,Yes,"2021, 2022, 2023, 2024, 2025, 2026, 2027",Colgate University has extended their temporary test optional policy to the 2026–27 admissions cycle.,17540,17.19%,1360–1490,31–34
Bates College,Yes,All / Permanent Policy,"Bates offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. Bates does not offer merit-based aid.",7319,17.31%,1290–1440,30–34
Carleton College,Yes,"2021, 2022, 2023",Carleton College has extended their temporary test optional to Fall 2023 admissions.,7915,17.55%,1440–1530,31–35
Davidson College,Yes,All / Permanent Policy,"Davidson offers a test optional policy, which allows students to apply for admission with SAT or ACT scores. Homeschooled students and students who attend non-traditional schools are recommended to submit scores.",6434,17.8%,1340–1480,30–33
Haverford College,Yes,All / Permanent Policy,"Haverford offers a test optional policy, which allows students to apply for admission with SAT or ACT scores. Haverford does not offer merit-based aid.",5332,17.84%,1440–1520,33–35
Pitzer College,Yes,"2022, 2023, 2024","Pitzer has been test optional since 2003. After nearly two decades of test optional admissions, Pitzer College will switch to a test-free admission policy for at least three years, beginning with the admission cycle for fall 2022.",3676,18.31%,1410–1500,31–33
Northeastern University,Yes,"2021, 2022, 2023, 2024, 2025, 2026",Northeastern has extended their temporary test optional policy to the 2025-26 admission cycle.,75244,18.38%,1440–1530,33–35
Boston University,Yes,"2021, 2022, 2023, 2024, 2025",BU has extended their temporary test optional policy to the 2024–25 admission cycle.,75778,18.65%,1390–1490,31–34
Washington and Lee University,Yes,"2021, 2022, 2023",Washington and Lee has extended their temporary test optional policy to the 2022–23 admissions cycle.,6614,18.87%,1410–1530,32–35
Boston College,Yes,"2021, 2022, 2023",Boston College has extended their temporary test optional policy to the 2022–23 admissions cycle.,39846,19.04%,1430–1510,33–34
University of North Carolina—Chapel Hill,Yes,"2021, 2022, 2023, 2024",The UNC System has reinstated their temporary test optional policy through Fall 2024.,53776,19.24%,1330–1500,29–33
Wesleyan University,Yes,All / Permanent Policy,"Wesleyan University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission. International students will not be required to submit SAT or ACT scores for the 2020-21 admission cycle.",13067,19.44%,1310–1490,31–34
Vassar College,Yes,All / Permanent Policy,"Vassar offers a test optional policy, which allows students to apply for admission without SAT or ACT scores. Vassar College does not offer merit-based aid.",10884,20.15%,1420–1520,32–34
University of Michigan—Ann Arbor,Yes,"2021, 2022, 2023, 2024",The University of Michigan has extended their temporary test flexible policy to the 2023–24 admission cycle.,79743,20.15%,1360–1530,31–35
United States Coast Guard Academy,Yes,2022,"USCGA has adopted a temporary test optional policy for the 2021–22 admission cycle. While scores are optional, they are preferred, and students applying without scores are asked to upload a short statement.",1930,20.31%,1212–1400,25–30
University of Virginia,Yes,"2021, 2022, 2023, 2024, 2025",UVA has extended their temporary test optional policy to the 2024–25 admissions cycle.,47982,20.74%,1400–1510,32–35
New York University,Yes,"2021, 2022, 2023, 2024",NYU has extended their temporary test optional policy to the 2023–24 admission cycle.,80210,21.09%,1390–1510,31–34
Grinnell College,Yes,"2021, 2022",Grinnell has extended their temporary test optional policy to the 2021–22 admission cycle.,8004,23.08%,1370–1530,31–34
Babson College,Yes,"2021, 2022, 2023, 2024",Babson has extended their temporary test optional policy to the 2023–24 admission cycle.,7104,25%,1400–1500,31–34
Wake Forest University,Yes,All / Permanent Policy,"Wake Forest offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",15156,25.18%,1380–1480,30–33
Villanova University,Yes,"2021, 2022, 2023",Villanova has extended their temporary test optional policy to the 2022–23 admission cycle.,24410,25.24%,1350–1490,31–34
Rhode Island School of Design,Yes,All / Permanent Policy,"Rhode Island School of Design offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, international and homeschooled students are still required to submit test scores.",3832,25.76%,1230–1470,26–32
Case Western Reserve University,Yes,"2021, 2022, 2023",Case Western has extended their temporary test optional policy to the 2022–23 admissions cycle.,28786,27.36%,1350–1520,30–34
Denison University,Yes,All / Permanent Policy,"Denison offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",9513,28.27%,1250–1410,28–32
University of Miami,Yes,"2021, 2022, 2023",University of Miami has extended their temporary test optional policy to Fall 2023.,42244,28.49%,1310–1450,30–33
University of Texas—Austin,Yes,"2021, 2022, 2023",UT Austin has extended their temporary test optional policy to Fall 2023.,66043,28.75%,1230–1480,29–34
University of Richmond,Yes,"2021, 2022, 2023",University of Richmond has extended their temporary test optional policy to the 2022–23 admissions cycle.,13955,28.77%,1320–1462,31–34
University of California—Irvine,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",107952,28.94%,—,—
University of California—Santa Barbara,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",105647,29.18%,—,—
Scripps College,Yes,All / Permanent Policy,"Scripps offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",2952,29.54%,1400–1510,31–34
Smith College,Yes,All / Permanent Policy,"Smith College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, international students are not eligible for test optional admission.",6064,29.91%,1390–1510,31–34
Skidmore College,Yes,All / Permanent Policy,"Skidmore College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, international students and homeschooled students are not eligible for test optional admission.",11176,30.59%,1300–1420,29–33
Macalester College,Yes,All / Permanent Policy,"Macalester College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, Macalester recommends that homeschooled students and students who attend high schools that do not provide grades submit SAT or ACT scores.",9031,31.31%,1360–1490,29–33
California State Polytechnic University—San Luis Obispo,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",54570,33%,1240–1420,28–33
Berea College,Yes,"2021, 2022, 2023",Berea College has extended their temporary test optional policy to the 2021–23 admission cycle.,1736,33.24%,1090–1298,23–27
Trinity University,Yes,"2021, 2022, 2023","Trinity University has adopted a three-year, test optional policy for first-time, international, and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period, Trinity will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.",9626,33.72%,1300–1450,29–33
University of California—San Diego,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",118410,34.31%,—,—
Oberlin College,Yes,"2021, 2022, 2023","Oberlin College has adopted a three-year, test optional policy for first-time, international, and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period, Oberlin will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.",10597,34.34%,1340–1460,30–34
Bucknell University,Yes,"2021, 2022, 2023, 2024, 2025","Bucknell University adopted a five-year, test optional policy for first-year students, beginning with the 2020-21 admission cycle. However, homeschooled students and international students are not eligible for test optional admission. Bucknell will use the five-year pilot period to assess the patterns of success for test score submitters and non-submitters.",11263,34.5%,1230–1390,26–32
CUNY—Hunter,Yes (TF),"2021, 2022",The CUNY system has extended their temporary test free policy to the 2021–22 admission cycle.,33750,35.17%,1150–1350,—
Howard University,Yes,"2021, 2022",Howard University has extended its temporary test optional policy to the 2021-22 admissions cycle.,29396,35.25%,1100–1270,21–26
University of Rochester,Yes,All / Permanent Policy,"The University of Rochester offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",19607,35.43%,1300–1500,29–33
University of Tulsa,Yes,"2021, 2022, 2023",University of Tulsa has extended their temporary test optional policy to Fall 2023.,9793,35.84%,1090–1360,24–31
Hampton University,Yes*,All / Permanent Policy,"Hampton University requires either the SAT or ACT, however they will waive this requirement for students with a 3.3+ GPA or who rank in the top 10% of their class. It does not require the optional ACT Writing Test.",9551,36%,1030–1160,20–25
Hillsdale College,Yes,All / Permanent Policy,"Hillsdale College offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",2208,36.01%,1340–1495,30–34
Trinity College (Hartford),Yes,All / Permanent Policy,"Trinity offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",5952,36.04%,1310–1420,30–32
College of William and Mary,Yes,All / Permanent Policy,"William and Mary offers a test optional policy, which allows students to apply without SAT or ACT scores.",17475,36.54%,1360–1520,31–34
Kenyon College,Yes,"2021, 2022, 2023",Kenyon has extended their temporary test optional policy to the Fall 2023 semester.,7601,36.55%,1360–1470,31–34
Franklin and Marshall College,Yes,All / Permanent Policy,"Franklin and Marshall College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission. Franklin and Marshall does not offer merit-based aid.",7720,37.54%,1260–1410,29–32
San Diego State University,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",67660,37.9%,1130–1320,22–29
Occidental College,Yes,All / Permanent Policy,"Oxy offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",6495,38.24%,1350–1470,30–33
Brandeis University,Yes,All / Permanent Policy,"Brandeis University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",9796,39.14%,1390–1500,31–34
Bryn Mawr College,Yes,All / Permanent Policy,"Bryn Mawr offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, international students are not eligible for test optional admission.",3391,39.34%,1290–1460,30–33
Emerson College,Yes,All / Permanent Policy,"Emerson College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",13324,40.6%,1220–1380,27–32
Lafayette College,Yes,"2021, 2022, 2023",Lafayette College extended their temporary test optional policy to the 2022–23 admission cycle.,8262,40.74%,1330–1440,30–33
Connecticut College,Yes,All / Permanent Policy,"Connecticut College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",7682,40.95%,1353–1450,30–33
Austin College,Yes,All / Permanent Policy,"Austin College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",4151,42.57%,1120–1330,23–29
College of the Holy Cross,Yes,All / Permanent Policy,"The College of the Holy Cross offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",6498,42.87%,1240–1420,28–32
Rensselaer Polytechnic Institute,Yes,"2021, 2022, 2023, 2024","RPI has extended their temporary test optional police to the 2023–24 admission cycle. However, students applying to the Physician-Scientist Program will be required to submit the appropriate testing.",20402,42.99%,1330–1500,29–33
CUNY—Baruch College,Yes (TF),"2021, 2022",The CUNY system has extended their temporary test free policy to the 2021–22 admission cycle.,20303,43.4%,1130–1330,—
Reed College,Yes (TF),"2021, 2022, 2023",Reed has extended their temporary test free admission policy to the Fall 2023 period.,7010,43.81%,1330–1500,30–34
Syracuse University,Yes,"2021, 2022, 2023, 2024",Syracuse extended their temporary test optional policy to the 2023–24 admissions cycle.,35299,44.38%,1180–1380,26–30
Illinois Wesleyan University,Yes,"2021, 2022",Illinois Wesleyan has extended their temporary test optional policy to the 2021-22 admission cycle. Test optional applicants must have an interview with their admissions counselor and submit an essay.,4543,45.23%,1130–1320,24–29
Binghamton University—SUNY,Yes,All / Permanent Policy,"The SUNY system offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",38533,45.3%,1320–1460,30–33
Loyola Marymount University,Yes,"2021, 2022, 2023",LMU has extended their temporary test optional policy to Fall 2023.,19045,45.82%,1260–1410,28–32
Lehigh University,Yes,"2021, 2022, 2023",Lehigh has extended their temporary test optional policy to the 2023–24 admission cycle.,14107,45.97%,1340–1460,30–34
University of California—Davis,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",76225,46.32%,1160–1370,25–31
California State University—Long Beach,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",67092,46.87%,—,—
"Union College (Schenectady, NY)",Yes,All / Permanent Policy,"Union College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and those applying for the Leadership in Medicine program or the 3+3 Accelerated Law Program are not eligible for test optional admission.",7470,47.03%,1270–1450,28–32
North Carolina State University—Raleigh,Yes,"2021, 2022, 2023, 2024",The UNC System has reinstated their temporary test optional policy through Fall 2024.,32893,47.23%,1290–1430,27–32
St. Olaf College,Yes,All / Permanent Policy,"St. Olaf College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",6494,47.43%,1240–1420,28–33
Clark University,Yes,All / Permanent Policy,"Clark University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, international students are not eligible for test optional admission.",8151,48.03%,1220–1380,27–30
Stony Brook University—SUNY,Yes,All / Permanent Policy,"The SUNY system offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",38826,48.06%,1320–1460,29–33
Dickinson College,Yes (TF),"2021, 2022, 2023",Dickinson has extended their temporary test free policy to the Fall 2023 semester.,6366,48.08%,1383–1465,—
Clemson University,Yes,"2021, 2022, 2023",Clemson has extended their temporary test optional policy to the 2022–23 admission cycle.,47007,49.22%,1240–1400,27–32
George Washington University,Yes*,All / Permanent Policy,"George Washington University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, applicants applying to the accelerated Seven-Year B.A./M.D. Program, students who attend secondary schools that do not provide letter grades, homeschooled students, and recruited NCAA Division 1 athletes are not eligible for test optional admission (unless allowed by the NCAA).",27236,49.71%,1320–1460,30–34
Spelman College,Yes,"2021, 2022",Spelman has extended their temporary test optional policy to the 2021–22 admission cycle.,11176,50.76%,1070–1240,20–26
Rollins College,Yes,All / Permanent Policy,"Rollins offers a test optional policy (""test scores waived option""), which allows students to be considered for admission without SAT or ACT scores. However, applicants to the 3/2 Accelerated Management Program or the Honors Degree Program must submit test scores.",8049,50.86%,1180–1330,25–29
Southwestern University,Yes,All / Permanent Policy,"Southwestern University has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. However, homeschooled students and international students are not eligible for test optional admission.",4757,51.04%,1155–1320,25–31
The College of New Jersey,Yes,"2021, 2022, 2023","The College of New Jersey has adopted a three-year, test optional policy for all applicants, beginning in the 2020-21 admission cycle.",13199,51.25%,1150–1300,24–30
University of Dallas,Yes,"2021, 2022",University of Dallas has extended their temporary test optional policy to the 2021–22 admission cycle.,4645,51.63%,1130–1335,23–30
University of Maryland—College Park,Yes,"2021, 2022, 2023, 2025",UMD has extended their temporary test optional policy to the 2024–25 application cycle.,50146,51.99%,1340–1490,30–34
Mount Holyoke College,Yes,All / Permanent Policy,"Mount Holyoke College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",3971,52.3%,1340–1470,31–35
Wofford College,Yes,All / Permanent Policy,"Wofford College has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. However, international students are not eligible for test optional admission.",4349,52.47%,1220–1390,28–32
University of San Diego,Yes (TF),"2021, 2022, 2023",University of San Diego has extended their temporary test free policy to the Fall 2023 semester.,14326,52.7%,—,—
Pepperdine University,Yes,"2021, 2022, 2023",Pepperdine has extended their temporary test optional policy to the 2022–23 admission cycle.,11855,52.71%,1280–1430,25–30
Soka University of America,Yes,"2021, 2022",Soka University has extended their temporary test optional policy to the Fall 2022 semester.,513,52.83%,1220–1365,24–28
Stevens Institute of Technology,Yes,"2021, 2022, 2023","Stevens Institute of Technology has extended their temporary test optional policy, with some exceptions, for Fall 2023.",11320,53%,1370–1510,31–34
Southern Methodist University,Yes,"2021, 2022, 2023",SMU has extended their temporary test optional policy to the 2022–23 admission cycle.,15685,53.13%,1350–1490,31–34
University of Washington—Seattle,Yes,All / Permanent Policy,"The University of Washington—Seattle offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",48840,53.48%,1240–1450,29–34
Texas Christian University,Yes,"2021, 2022, 2023",TCU has extended their temporary test optional policy through 2023.,19782,53.61%,1140–1345,26–31
Santa Clara University,Yes,"2021, 2022, 2023",Santa Clara University has extended their temporary test optional policy to the 2023 terms.,16848,53.98%,1300–1460,29–33
Sarah Lawrence College,Yes,All / Permanent Policy,"Sarah Lawrence College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",3674,54.63%,1230–1390,27–32
University of La Verne,Yes,All / Permanent Policy,"University of La Verne offers a test optional policy, which allows first-year applicants to be considered for admission without SAT or ACT scores.",6864,54.82%,1040–1190,19–24
Marist College,Yes,All / Permanent Policy,"Marist College offers a test optional policy, offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and students applying to some programs are not eligible for test optional admission.",11715,55%,1210–1340,26–31
California State Polytechnic University—Pomona,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",36660,55.48%,1030–1250,19–27
University of Connecticut,Yes,"2021, 2022, 2023, 2024, 2025, 2026",UConn has extended their temporary test optional policy to the Fall 2026 term.,36753,55.6%,1230–1430,27–33
Fairfield University,Yes,All / Permanent Policy,"Fairfield University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",12674,55.81%,1240–1370,27–31
Gettysburg College,Yes,All / Permanent Policy,"Gettysburg College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, Gettysburg recommends that both international and homeschooled students submit SAT or ACT scores.",6206,56.33%,1280–1430,28–32
Virginia Polytechnic Institute and State University,Yes,"2021, 2022",Virginia Tech has extended their temporary test optional policy to the 2021–22 admission cycle.,42054,56.47%,1210–1410,26–35
St. Lawrence University,Yes,All / Permanent Policy,"St. Lawrence offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores. However, international students are not eligible for test optional admission.",5217,56.55%,1230–1380,29–32
Baylor University,Yes,"2021, 2022, 2023","Baylor has extended their temporary test optional policy to the 2022–23 admissions cycle. However, homeschooled students, students who attend schools that only provide narrative evaluations, and students who graduate high school early are not eligible for test optional admissions.",36588,56.69%,1170–1350,25–32
